original,location,sample_period,duplicate,location,sample_period
IG2013056,Igloolik,17,IG2013056,Igloolik,17
IG2013056,Igloolik,17,IG2013090,Igloolik,17
IG2013057,Igloolik,17,IG2013057,Igloolik,17
IG2013058,Igloolik,17,IG2013058,Igloolik,17
IG2013059,Igloolik,17,IG2013059,Igloolik,17
IG2013060,Igloolik,17,IG2013060,Igloolik,17
IG2013061,Igloolik,17,IG2013061,Igloolik,17
IG2013063,Igloolik,17,IG2013063,Igloolik,17
IG2013064,Igloolik,17,IG2013064,Igloolik,17
IG2013065,Igloolik,17,IG2013065,Igloolik,17
IG2013066,Igloolik,17,IG2013066,Igloolik,17
IG2013067,Igloolik,17,IG2013067,Igloolik,17
IG2013068,Igloolik,17,IG2013068,Igloolik,17
IG2013069,Igloolik,17,IG2013069,Igloolik,17
IG2013070,Igloolik,17,IG2013070,Igloolik,17
IG2013071,Igloolik,17,IG2013073,Igloolik,17
IG2013071,Igloolik,17,IG2013071,Igloolik,17
IG2013072,Igloolik,17,IG2013072,Igloolik,17
IG2013074,Igloolik,17,IG2013074,Igloolik,17
IG2013075,Igloolik,17,IG2013075,Igloolik,17
IG2013077,Igloolik,17,IG2013077,Igloolik,17
IG2013078,Igloolik,17,IG2013078,Igloolik,17
IG2013079,Igloolik,17,IG2013079,Igloolik,17
IG2013082,Igloolik,17,IG2013082,Igloolik,17
IG2013083,Igloolik,17,IG2013083,Igloolik,17
IG2013084,Igloolik,17,IG2013084,Igloolik,17
IG2013085,Igloolik,17,IG2013115,Igloolik,17
IG2013085,Igloolik,17,IG2013085,Igloolik,17
IG2013087,Igloolik,17,IG2013096,Igloolik,17
IG2013087,Igloolik,17,IG2013087,Igloolik,17
IG2013088,Igloolik,17,IG2013088,Igloolik,17
IG2013089,Igloolik,17,IG2013089,Igloolik,17
IG2013092,Igloolik,17,IG2013092,Igloolik,17
IG2013093,Igloolik,17,IG2013093,Igloolik,17
IG2013094,Igloolik,17,IG2013094,Igloolik,17
